yreTzhZ2P5M|김수희 - 남행열차
EA6PLfDueP0|조용필 - 그 겨울의 찻집
mmo-IX1DwgQ|심수봉 - 그때 그 사람
sfOhQkdexro|조용필 - 돌아와요 부산항에
tyLqhRR41pw|박현빈 - 곤드레 만드레
IXLNOj2PubU|나훈아 - 고향역
UPAh9mYz0Zc|심수봉 - 남자는 배 여자는 항구
_XbiEjAJ-rM|남진 - 가슴 아프게
GsIbYLXUfDk|조용필 - 창밖의 여자
BtTanmaq2ZU|나훈아 - 고장난 벽시계
nR8AJ1I5mac|최진희 - 사랑의 미로
WAd8i_R0Vhc|추가열 - 나 같은 건 없는 건가요
tIOgXP6NoFo|이미자 - 동백아가씨
Lj-L6-O62RA|송대관 - 네박자
xyqO5So9tRg|설운도 - 다함께 차차차
a0sEe68zK4g|임주리 - 립스틱 짙게 바르고
pEWzEMblFcs|나훈아 - 무시로
KYIRhty5xoo|최진희 - 그대는 나의 인생
5DkZ_EsMTGU|이애란 - 백세인생
-kTpmrrSiXg|김자옥 - 공주는 외로워
k-6qdALVLk0|박현빈 - 샤방샤방
qumBMdooVOw|설운도 - 누이
tqYAWnqVdzQ|나훈아 - 잡초
D2xkm2AI76U|차태현 - 이차선 다리
sg-Cfp4Xo2M|이난영 - 목포의 눈물
zKqxmxR8OMc|주병선 - 칠갑산
vWOCjvVojQg|문주란 - 남자는 여자를 귀찮게해
-TZC98jsvvo|최유나 - 흔적
9laF8fKiqaU|김세레나 - 갑돌이와 갑순이
LEamOM0sQkg|윤수일 - 황홀한 고백
utDXGtUbZGM|배호 - 돌아가는 삼각지
ENOf4jeQPyI|최백호 - 영일만 친구
tEhFNzLzSLQ|함중아와 양키스 - 내게도 사랑이
hP9ZCfchw80|김태희 - 소양강 처녀
DFMiBtrH5L0|이자연 - 찰랑찰랑
ZIZhJ0acwig|주현미 - 비 내리는 영동교
bbZT25qQnMw|윤희상 - 카스바의 여인
tQP-ONLL13U|태진아 - 사랑은 아무나 하나
QUsXuUsiNbs|문성재 - 부산 갈매기
sOSCIvSiTvI|이자연 - 당신의 의미
EhQGoasDCRg|배일호 - 99.9
LoWFbRauHm8|송대관 - 해뜰날
fqZOF1u_rWM|김국환 - 타타타
p433UfBNUEM|최백호 - 내 마음 갈 곳을 잃어
J6ouIfz7Zso|주현미 - 짝사랑
TIII3s5wKxw|배호 - 안개낀 장충단 공원
fgyMtbK9Cz4|편승엽 - 찬찬찬
tE1XLsswM5M|김영철 - 따르릉
rci6-p4ux8U|조항조 - 사랑찾아 인생찾아
6U4KKa68GNo|현철 - 내마음 별과 같이
n-ULKGbn-Ag|혜은이 - 열정
EA5rSLCnUwI|남진 - 빈잔
ZxgsQ7zsfDc|박주희 - 자기야
PK7CqLjNNJU|박상철 - 황진이
NGsOX4aOHDQ|박상철 - 자옥아
-SqKnC8v9uc|김정구 - 눈물 젖은 두만강
MzVwQo7isro|남진 - 그대여 변치마오
i5Quk2aimBQ|주현미 - 신사동 그 사람
V6xoVmIe2M8|김수희 - 멍에
d5rjxIwUi84|김수희 - 너무합니다
qWZKUwMB7Dw|김지애 - 얄미운 사람
DSzU613qo8w|심수봉 - 미워요
oG8sY-GiT7k|하춘화 - 날 버린 남자
qCHUKi1BSuM|현철 - 청춘을 돌려다오
wK092qDFtjc|현철 - 사랑은 나비인가봐
dGW6jKhpo5M|현철 - 봉선화 연정
I20eSByGVXk|현인 - 신라의 달밤
